horizon,pred_year,regime,n_metros,weighted_tau,precision_at_10
3,2016,pre_covid,110,0.6163622754658276,0.8
3,2017,pre_covid,110,0.6230438720803008,0.9
3,2018,pre_covid,110,0.5804544569387499,0.7
3,2019,pre_covid,110,0.5240084837938689,1.0
3,2021,shock,110,0.306817800470012,0.4
3,2022,shock,110,-0.04213433877215139,0.1
1,2016,pre_covid,110,0.729199273925616,0.8
1,2017,pre_covid,110,0.7247519260893417,1.0
1,2018,pre_covid,110,0.6061500142229064,0.8
1,2019,pre_covid,110,0.4791438231260801,0.5
1,2021,shock,110,0.5016258370594383,0.6
1,2022,shock,110,0.18440749050526536,0.3
1,2023,normalization,110,0.21134235354828368,0.5
