strategy,pred_year,regime,top10_pp_vs_median,tau
Composite (model),2016,pre_covid,6.585256459934483,0.6195033531205248
Composite (model),2017,pre_covid,7.207191808809307,0.6247876632792352
Composite (model),2018,pre_covid,10.38076270379904,0.5863488629944638
Composite (model),2019,pre_covid,12.157270770607203,0.5195321908115808
Composite (model),2021,shock,1.451377359076128,0.3359932315979751
Composite (model),2022,shock,-1.742179359441756,-0.022476092474770868
Momentum (trailing rent),2016,pre_covid,7.2409625145923115,0.7115667941910129
Momentum (trailing rent),2017,pre_covid,6.196165925707481,0.5793163375395088
Momentum (trailing rent),2018,pre_covid,10.365920435701387,0.6473922181079599
Momentum (trailing rent),2019,pre_covid,10.597042854355344,0.19994124893977364
Momentum (trailing rent),2021,shock,-1.474075605257369,0.22611059457993804
Momentum (trailing rent),2022,shock,-4.279769916317881,-0.015427223976008696
50/50 blend,2016,pre_covid,7.2077343610333795,0.727780875054586
50/50 blend,2017,pre_covid,6.269088874995838,0.6388565996455804
50/50 blend,2018,pre_covid,11.007915846799477,0.6763916562277313
50/50 blend,2019,pre_covid,11.552324937959746,0.3892370007305216
50/50 blend,2021,shock,0.4068653613196388,0.30260939523548575
50/50 blend,2022,shock,-5.49605025127976,-0.020177903816899566
Equal weight,2016,pre_covid,5.546816266326856,0.6680483519922378
Equal weight,2017,pre_covid,4.263558146807372,0.5384219271088271
Equal weight,2018,pre_covid,3.5442238742579124,0.507890130999334
Equal weight,2019,pre_covid,8.237739100365927,0.4474842901952315
Equal weight,2021,shock,-4.586113270264297,0.2165787212813205
Equal weight,2022,shock,-6.781802019545221,-0.1730939814970716
Persistence (3-yr trailing),2016,pre_covid,,
Persistence (3-yr trailing),2017,pre_covid,,
Persistence (3-yr trailing),2018,pre_covid,7.756494078042408,0.4842775718439853
Persistence (3-yr trailing),2019,pre_covid,6.855201153668594,0.29673077208813614
Persistence (3-yr trailing),2021,shock,-3.094278721888588,0.2007501505079621
Persistence (3-yr trailing),2022,shock,-5.688182766237617,-0.11955267997091684
Random (50-seed mean),2016,pre_covid,0.4982538831993813,
Random (50-seed mean),2017,pre_covid,0.3262045421817122,
Random (50-seed mean),2018,pre_covid,0.724628182822869,
Random (50-seed mean),2019,pre_covid,0.4545550427989836,
Random (50-seed mean),2021,shock,-0.10866994598777838,
Random (50-seed mean),2022,shock,-0.4004697302805426,
