cbsa_code,cbsa_title,county_fips
10180,"Abilene, TX",48059
10180,"Abilene, TX",48253
10180,"Abilene, TX",48441
10380,"Aguadilla, PR",72003
10380,"Aguadilla, PR",72005
10380,"Aguadilla, PR",72011
10380,"Aguadilla, PR",72071
10380,"Aguadilla, PR",72099
10380,"Aguadilla, PR",72117
10380,"Aguadilla, PR",72131
10420,"Akron, OH",39133
10420,"Akron, OH",39153
10500,"Albany, GA",13095
10500,"Albany, GA",13177
10500,"Albany, GA",13273
10500,"Albany, GA",13321
10540,"Albany, OR",41043
10580,"Albany-Schenectady-Troy, NY",36001
10580,"Albany-Schenectady-Troy, NY",36083
10580,"Albany-Schenectady-Troy, NY",36091
10580,"Albany-Schenectady-Troy, NY",36093
10580,"Albany-Schenectady-Troy, NY",36095
10740,"Albuquerque, NM",35001
10740,"Albuquerque, NM",35043
10740,"Albuquerque, NM",35057
10740,"Albuquerque, NM",35061
10780,"Alexandria, LA",22043
10780,"Alexandria, LA",22079
10900,"Allentown-Bethlehem-Easton, PA-NJ",34041
10900,"Allentown-Bethlehem-Easton, PA-NJ",42025
10900,"Allentown-Bethlehem-Easton, PA-NJ",42077
10900,"Allentown-Bethlehem-Easton, PA-NJ",42095
11020,"Altoona, PA",42013
11100,"Amarillo, TX",48011
11100,"Amarillo, TX",48065
11100,"Amarillo, TX",48359
11100,"Amarillo, TX",48375
11100,"Amarillo, TX",48381
11180,"Ames, IA",19015
11180,"Ames, IA",19169
11200,"Amherst Town-Northampton, MA",25015
11260,"Anchorage, AK",02020
11260,"Anchorage, AK",02170
11460,"Ann Arbor, MI",26161
11500,"Anniston-Oxford, AL",01015
11540,"Appleton, WI",55015
11540,"Appleton, WI",55087
11640,"Arecibo, PR",72013
11640,"Arecibo, PR",72027
11640,"Arecibo, PR",72065
11640,"Arecibo, PR",72115
11700,"Asheville, NC",37021
11700,"Asheville, NC",37089
11700,"Asheville, NC",37115
12020,"Athens-Clarke County, GA",13059
12020,"Athens-Clarke County, GA",13195
12020,"Athens-Clarke County, GA",13219
12020,"Athens-Clarke County, GA",13221
12060,"Atlanta-Sandy Springs-Roswell, GA",13013
12060,"Atlanta-Sandy Springs-Roswell, GA",13015
12060,"Atlanta-Sandy Springs-Roswell, GA",13035
12060,"Atlanta-Sandy Springs-Roswell, GA",13045
12060,"Atlanta-Sandy Springs-Roswell, GA",13057
12060,"Atlanta-Sandy Springs-Roswell, GA",13063
12060,"Atlanta-Sandy Springs-Roswell, GA",13067
12060,"Atlanta-Sandy Springs-Roswell, GA",13077
12060,"Atlanta-Sandy Springs-Roswell, GA",13085
12060,"Atlanta-Sandy Springs-Roswell, GA",13089
12060,"Atlanta-Sandy Springs-Roswell, GA",13097
12060,"Atlanta-Sandy Springs-Roswell, GA",13113
12060,"Atlanta-Sandy Springs-Roswell, GA",13117
12060,"Atlanta-Sandy Springs-Roswell, GA",13121
12060,"Atlanta-Sandy Springs-Roswell, GA",13135
12060,"Atlanta-Sandy Springs-Roswell, GA",13143
12060,"Atlanta-Sandy Springs-Roswell, GA",13149
12060,"Atlanta-Sandy Springs-Roswell, GA",13151
12060,"Atlanta-Sandy Springs-Roswell, GA",13159
12060,"Atlanta-Sandy Springs-Roswell, GA",13187
12060,"Atlanta-Sandy Springs-Roswell, GA",13199
12060,"Atlanta-Sandy Springs-Roswell, GA",13211
12060,"Atlanta-Sandy Springs-Roswell, GA",13217
12060,"Atlanta-Sandy Springs-Roswell, GA",13223
12060,"Atlanta-Sandy Springs-Roswell, GA",13227
12060,"Atlanta-Sandy Springs-Roswell, GA",13231
12060,"Atlanta-Sandy Springs-Roswell, GA",13247
12060,"Atlanta-Sandy Springs-Roswell, GA",13255
12060,"Atlanta-Sandy Springs-Roswell, GA",13297
12100,"Atlantic City-Hammonton, NJ",34001
12100,"Atlantic City-Hammonton, NJ",34009
12220,"Auburn-Opelika, AL",01081
12220,"Auburn-Opelika, AL",01087
12260,"Augusta-Richmond County, GA-SC",13033
12260,"Augusta-Richmond County, GA-SC",13073
12260,"Augusta-Richmond County, GA-SC",13181
12260,"Augusta-Richmond County, GA-SC",13189
12260,"Augusta-Richmond County, GA-SC",13245
12260,"Augusta-Richmond County, GA-SC",45003
12260,"Augusta-Richmond County, GA-SC",45037
12420,"Austin-Round Rock-San Marcos, TX",48021
12420,"Austin-Round Rock-San Marcos, TX",48055
12420,"Austin-Round Rock-San Marcos, TX",48209
12420,"Austin-Round Rock-San Marcos, TX",48453
12420,"Austin-Round Rock-San Marcos, TX",48491
12540,"Bakersfield-Delano, CA",06029
12580,"Baltimore-Columbia-Towson, MD",24003
12580,"Baltimore-Columbia-Towson, MD",24005
12580,"Baltimore-Columbia-Towson, MD",24013
12580,"Baltimore-Columbia-Towson, MD",24025
12580,"Baltimore-Columbia-Towson, MD",24027
12580,"Baltimore-Columbia-Towson, MD",24035
12580,"Baltimore-Columbia-Towson, MD",24510
12620,"Bangor, ME",23019
12700,"Barnstable Town, MA",25001
12940,"Baton Rouge, LA",22005
12940,"Baton Rouge, LA",22007
12940,"Baton Rouge, LA",22033
12940,"Baton Rouge, LA",22037
12940,"Baton Rouge, LA",22047
12940,"Baton Rouge, LA",22063
12940,"Baton Rouge, LA",22077
12940,"Baton Rouge, LA",22091
12940,"Baton Rouge, LA",22121
12940,"Baton Rouge, LA",22125
12980,"Battle Creek, MI",26025
13020,"Bay City, MI",26017
13140,"Beaumont-Port Arthur, TX",48199
13140,"Beaumont-Port Arthur, TX",48245
13140,"Beaumont-Port Arthur, TX",48361
13220,"Beckley, WV",54019
13220,"Beckley, WV",54081
13380,"Bellingham, WA",53073
13460,"Bend, OR",41013
13460,"Bend, OR",41017
13460,"Bend, OR",41031
13740,"Billings, MT",30009
13740,"Billings, MT",30095
13740,"Billings, MT",30111
13780,"Binghamton, NY",36007
13780,"Binghamton, NY",36107
13820,"Birmingham, AL",01007
13820,"Birmingham, AL",01009
13820,"Birmingham, AL",01021
13820,"Birmingham, AL",01073
13820,"Birmingham, AL",01115
13820,"Birmingham, AL",01117
13820,"Birmingham, AL",01127
13900,"Bismarck, ND",38015
13900,"Bismarck, ND",38059
