edition,cbsa_code,rank_lo,rank_median,rank_hi,tier
2023,10420,1,3.0,20,Leading cluster
2023,10580,2,17.5,50,Leading cluster
2023,10740,9,39.0,71,Strong
2023,10900,8,36.5,70,Strong
2023,12060,51,82.0,100,Weak
2023,12260,51,79.0,100,Weak
2023,12420,94,106.0,110,Lagging
2023,12540,61,89.0,104,Weak
2023,12580,16,48.0,77,Mid
2023,12940,33,67.0,93,Mid
2023,13820,2,17.0,49,Leading cluster
2023,14260,86,103.0,109,Lagging
2023,14460,25,57.0,84,Mid
2023,14860,3,20.0,54,Leading cluster
2023,15380,2,14.0,43,Leading cluster
2023,15980,79,100.0,108,Lagging
2023,16700,2,17.0,49,Leading cluster
2023,16740,42,73.0,95,Weak
2023,16860,4,25.0,59,Leading cluster
2023,16980,14,45.5,78,Mid
2023,17140,2,14.0,47,Leading cluster
2023,17410,2,16.0,47,Leading cluster
2023,17820,45,77.0,98,Weak
2023,17900,14,48.0,78,Mid
2023,18140,18,50.0,79,Mid
2023,19100,46,77.0,98,Weak
2023,19430,2,17.0,47,Leading cluster
2023,19660,8,35.0,69,Strong
2023,19740,37,71.0,95,Weak
2023,19780,7,32.0,68,Strong
2023,19820,12,44.0,74,Mid
2023,20500,74,96.0,107,Lagging
2023,21340,89,104.5,109,Lagging
2023,22220,4,25.0,60,Leading cluster
2023,23420,66,91.0,105,Weak
2023,24340,6,32.0,67,Strong
2023,24660,8,37.0,70,Strong
2023,24860,15,46.0,78,Mid
2023,25420,3,21.0,55,Leading cluster
2023,25540,4,20.0,58,Leading cluster
2023,26420,53,80.0,101,Weak
2023,26620,13,44.0,74,Mid
2023,26900,7,33.0,66,Strong
2023,27140,16,49.0,77,Mid
2023,27260,64,89.0,104,Weak
2023,28140,7,36.0,70,Strong
2023,28660,76,98.0,107,Lagging
2023,28880,31,63.0,90,Mid
2023,28940,1,7.0,32,Leading cluster
2023,29460,88,105.0,109,Lagging
2023,29540,5,24.0,59,Leading cluster
