month,cbsa_code,yoy
2018-01,10420,0.0361
2018-02,10420,0.0322
2018-03,10420,0.0231
2018-04,10420,0.0184
2018-05,10420,0.0179
2018-06,10420,0.019
2018-07,10420,0.0155
2018-08,10420,0.016
2018-09,10420,0.0192
2018-10,10420,0.024
2018-11,10420,0.0307
2018-12,10420,0.0298
2019-01,10420,0.0265
2019-02,10420,0.0285
2019-03,10420,0.0319
2019-04,10420,0.0325
2019-05,10420,0.0363
2019-06,10420,0.0388
2019-07,10420,0.0458
2019-08,10420,0.0497
2019-09,10420,0.0486
2019-10,10420,0.0471
2019-11,10420,0.0396
2019-12,10420,0.0382
2020-01,10420,0.0402
2020-02,10420,0.0374
2020-03,10420,0.0413
2020-04,10420,0.0444
2020-05,10420,0.049
2020-06,10420,0.0484
2020-07,10420,0.048
2020-08,10420,0.0456
2020-09,10420,0.0489
2020-10,10420,0.0545
2020-11,10420,0.0631
2020-12,10420,0.072
2021-01,10420,0.0792
2021-02,10420,0.0892
2021-03,10420,0.0846
2021-04,10420,0.0844
2021-05,10420,0.0884
2021-06,10420,0.0978
2021-07,10420,0.1035
2021-08,10420,0.1118
2021-09,10420,0.1147
2021-10,10420,0.1131
2021-11,10420,0.1136
2021-12,10420,0.1092
2022-01,10420,0.1061
2022-02,10420,0.1055
2022-03,10420,0.1159
2022-04,10420,0.1256
2022-05,10420,0.1133
2022-06,10420,0.1128
2022-07,10420,0.1066
2022-08,10420,0.105
2022-09,10420,0.1017
2022-10,10420,0.1036
2022-11,10420,0.1023
2022-12,10420,0.1038
2023-01,10420,0.0977
2023-02,10420,0.0866
2023-03,10420,0.0763
2023-04,10420,0.0717
2023-05,10420,0.0805
2023-06,10420,0.0723
2023-07,10420,0.0702
2023-08,10420,0.0631
2023-09,10420,0.061
2023-10,10420,0.0557
2023-11,10420,0.0557
2023-12,10420,0.0536
2024-01,10420,0.0617
2024-02,10420,0.0675
2024-03,10420,0.0673
2024-04,10420,0.0543
2024-05,10420,0.048
2024-06,10420,0.0506
2024-07,10420,0.0546
2024-08,10420,0.0569
2024-09,10420,0.0538
2024-10,10420,0.0573
2024-11,10420,0.0557
2024-12,10420,0.0522
2025-01,10420,0.0466
2025-02,10420,0.045
2025-03,10420,0.0475
2025-04,10420,0.0507
2025-05,10420,0.0481
2025-06,10420,0.0435
2025-07,10420,0.0394
2025-08,10420,0.0401
2025-09,10420,0.047
2025-10,10420,0.0425
2025-11,10420,0.0377
2025-12,10420,0.0396
2026-01,10420,0.0392
2026-02,10420,0.0414
2026-03,10420,0.0424
2026-04,10420,0.0526
2026-05,10420,0.0584
2018-01,10580,0.0472
2018-02,10580,0.042
2018-03,10580,0.0449
2018-04,10580,0.0419
2018-05,10580,0.0318
2018-06,10580,0.028
2018-07,10580,0.0235
2018-08,10580,0.0336
2018-09,10580,0.0399
2018-10,10580,0.0423
2018-11,10580,0.0298
2018-12,10580,0.0265
2019-01,10580,0.0194
2019-02,10580,0.0192
2019-03,10580,0.0196
2019-04,10580,0.0142
2019-05,10580,0.0203
2019-06,10580,0.0282
2019-07,10580,0.0383
2019-08,10580,0.0317
2019-09,10580,0.0214
2019-10,10580,0.0167
2019-11,10580,0.0261
2019-12,10580,0.0313
2020-01,10580,0.0301
2020-02,10580,0.0306
2020-03,10580,0.0373
2020-04,10580,0.0402
2020-05,10580,0.0352
2020-06,10580,0.026
2020-07,10580,0.0243
2020-08,10580,0.0329
2020-09,10580,0.0419
2020-10,10580,0.0493
2020-11,10580,0.0476
2020-12,10580,0.0511
2021-01,10580,0.0539
2021-02,10580,0.0557
2021-03,10580,0.0486
2021-04,10580,0.059
2021-05,10580,0.0679
2021-06,10580,0.0812
2021-07,10580,0.0803
2021-08,10580,0.0776
2021-09,10580,0.0807
2021-10,10580,0.0787
2021-11,10580,0.0856
2021-12,10580,0.0846
2022-01,10580,0.0902
2022-02,10580,0.0908
2022-03,10580,0.0956
2022-04,10580,0.0908
2022-05,10580,0.0926
2022-06,10580,0.0886
2022-07,10580,0.0912
2022-08,10580,0.0926
2022-09,10580,0.0876
2022-10,10580,0.0903
2022-11,10580,0.0778
2022-12,10580,0.0717
2023-01,10580,0.0595
2023-02,10580,0.0602
2023-03,10580,0.0555
2023-04,10580,0.0488
2023-05,10580,0.0451
