cbsa_code,cbsa_title,total_units,mf_units,total_units_reported,mf_units_reported,year,imputed_share_total,flag_imputed_gt_25pct
10420,"Akron, OH",3332,1011,3332,1011,1990,0.0,False
10420,"Akron, OH",2378,166,2376,166,1991,0.000841042893187538,False
10420,"Akron, OH",3782,1165,3780,1165,1992,0.0005288207297725611,False
10420,"Akron, OH",3015,202,3011,202,1993,0.001326699834162559,False
10420,"Akron, OH",3789,590,3785,590,1994,0.0010556875164950963,False
10420,"Akron, OH",3092,411,3090,411,1995,0.0006468305304010435,False
10420,"Akron, OH",3898,815,3895,815,1996,0.000769625448948208,False
10420,"Akron, OH",3707,1037,3700,1037,1997,0.0018883193957377475,False
10420,"Akron, OH",4013,866,4005,866,1998,0.0019935210565661388,False
10420,"Akron, OH",3644,350,3633,350,1999,0.0030186608122941827,False
10420,"Akron, OH",3342,663,3326,663,2000,0.004787552363853975,False
10420,"Akron, OH",3230,511,3147,511,2001,0.02569659442724459,False
10420,"Akron, OH",2634,321,2547,321,2002,0.03302961275626426,False
10420,"Akron, OH",3190,294,3190,294,2003,0.0,False
10420,"Akron, OH",2934,282,2281,84,2004,0.2225630538513974,False
10420,"Akron, OH",2724,211,2073,14,2005,0.2389867841409692,False
10420,"Akron, OH",2209,339,1719,144,2006,0.22181982797645994,False
10420,"Akron, OH",1594,182,1280,28,2007,0.19698870765370136,False
10420,"Akron, OH",1039,141,828,30,2008,0.20307988450433112,False
10420,"Akron, OH",741,49,618,0,2009,0.1659919028340081,False
10420,"Akron, OH",736,50,548,0,2010,0.2554347826086957,True
10420,"Akron, OH",1122,479,981,434,2011,0.1256684491978609,False
10420,"Akron, OH",618,0,614,0,2012,0.006472491909385147,False
10420,"Akron, OH",690,16,685,16,2013,0.007246376811594235,False
10420,"Akron, OH",763,63,701,63,2014,0.0812581913499345,False
10420,"Akron, OH",967,159,868,159,2015,0.10237849017580147,False
10420,"Akron, OH",909,0,798,0,2016,0.12211221122112215,False
10420,"Akron, OH",920,11,770,11,2017,0.1630434782608695,False
10420,"Akron, OH",1210,179,1203,179,2018,0.005785123966942196,False
10420,"Akron, OH",945,55,809,0,2019,0.14391534391534389,False
10420,"Akron, OH",914,89,830,24,2020,0.09190371991247259,False
10420,"Akron, OH",1215,217,1117,142,2021,0.08065843621399182,False
10420,"Akron, OH",3047,1746,2890,1657,2022,0.05152609123728258,False
10420,"Akron, OH",940,124,932,124,2023,0.008510638297872353,False
10420,"Akron, OH",1282,412,1259,412,2024,0.017940717628705194,False
10420,"Akron, OH",751,78,726,78,2025,0.03328894806924099,False
10580,"Albany-Schenectady-Troy, NY",2853,514,2800,514,1990,0.01857693655800907,False
10580,"Albany-Schenectady-Troy, NY",2904,423,2756,423,1991,0.05096418732782371,False
10580,"Albany-Schenectady-Troy, NY",3068,384,3018,384,1992,0.01629726205997395,False
10580,"Albany-Schenectady-Troy, NY",3084,279,2937,279,1993,0.0476653696498055,False
10580,"Albany-Schenectady-Troy, NY",2867,486,2643,424,1994,0.07813044994768048,False
10580,"Albany-Schenectady-Troy, NY",2446,672,2366,672,1995,0.03270645952575635,False
10580,"Albany-Schenectady-Troy, NY",2556,783,2281,739,1996,0.10758998435054778,False
10580,"Albany-Schenectady-Troy, NY",2266,425,2109,410,1997,0.06928508384819065,False
10580,"Albany-Schenectady-Troy, NY",3355,1038,3142,972,1998,0.06348733233979131,False
10580,"Albany-Schenectady-Troy, NY",2840,515,2590,425,1999,0.0880281690140845,False
10580,"Albany-Schenectady-Troy, NY",2597,346,2332,254,2000,0.10204081632653061,False
10580,"Albany-Schenectady-Troy, NY",2909,502,2607,414,2001,0.10381574424200757,False
10580,"Albany-Schenectady-Troy, NY",3226,475,2915,368,2002,0.09640421574705516,False
10580,"Albany-Schenectady-Troy, NY",3222,554,3222,554,2003,0.0,False
10580,"Albany-Schenectady-Troy, NY",3268,614,2739,403,2004,0.16187270501835982,False
10580,"Albany-Schenectady-Troy, NY",3639,1294,2991,996,2005,0.1780708985985161,False
10580,"Albany-Schenectady-Troy, NY",2450,494,2149,456,2006,0.12285714285714289,False
10580,"Albany-Schenectady-Troy, NY",2703,981,2471,947,2007,0.08583055863854971,False
10580,"Albany-Schenectady-Troy, NY",1892,618,1698,600,2008,0.10253699788583515,False
10580,"Albany-Schenectady-Troy, NY",1380,180,1267,180,2009,0.0818840579710145,False
10580,"Albany-Schenectady-Troy, NY",1429,244,1326,244,2010,0.07207837648705384,False
10580,"Albany-Schenectady-Troy, NY",1764,768,1684,756,2011,0.04535147392290251,False
10580,"Albany-Schenectady-Troy, NY",2226,993,1974,855,2012,0.1132075471698113,False
10580,"Albany-Schenectady-Troy, NY",2009,683,1875,624,2013,0.06669985067197615,False
10580,"Albany-Schenectady-Troy, NY",2231,839,2092,814,2014,0.06230389959659344,False
10580,"Albany-Schenectady-Troy, NY",3623,2132,3287,1918,2015,0.09274082252277116,False
10580,"Albany-Schenectady-Troy, NY",2853,1120,2519,937,2016,0.11706975113915175,False
10580,"Albany-Schenectady-Troy, NY",2346,925,2005,750,2017,0.14535379369138957,False
10580,"Albany-Schenectady-Troy, NY",2239,857,1899,692,2018,0.15185350602947745,False
