cbsa_code,cbsa_title,total_units,mf_units,total_units_reported,mf_units_reported,year
10180,"Abilene, TX",122,0,86,0,1990
10180,"Abilene, TX",152,0,113,0,1991
10180,"Abilene, TX",283,0,231,0,1992
10180,"Abilene, TX",318,0,254,0,1993
10180,"Abilene, TX",466,200,373,200,1994
10180,"Abilene, TX",425,173,13,0,1995
10180,"Abilene, TX",386,117,100,0,1996
10180,"Abilene, TX",227,0,227,0,1997
10180,"Abilene, TX",266,0,266,0,1998
10180,"Abilene, TX",195,0,195,0,1999
10180,"Abilene, TX",381,192,381,192,2000
10180,"Abilene, TX",590,192,588,192,2001
10180,"Abilene, TX",193,0,186,0,2002
10180,"Abilene, TX",221,0,221,0,2003
10180,"Abilene, TX",291,0,288,0,2004
10180,"Abilene, TX",346,14,339,14,2005
10180,"Abilene, TX",365,16,361,16,2006
10180,"Abilene, TX",293,0,293,0,2007
10180,"Abilene, TX",196,0,196,0,2008
10180,"Abilene, TX",214,0,213,0,2009
10180,"Abilene, TX",390,116,390,116,2010
10180,"Abilene, TX",159,0,159,0,2011
10180,"Abilene, TX",455,204,455,204,2012
10180,"Abilene, TX",306,0,286,0,2013
10180,"Abilene, TX",284,0,283,0,2014
10180,"Abilene, TX",535,228,535,228,2015
10180,"Abilene, TX",306,0,306,0,2016
10180,"Abilene, TX",322,0,321,0,2017
10180,"Abilene, TX",357,0,356,0,2018
10180,"Abilene, TX",370,0,369,0,2019
10180,"Abilene, TX",663,196,663,196,2020
10180,"Abilene, TX",883,289,870,289,2021
10180,"Abilene, TX",799,274,799,274,2022
10180,"Abilene, TX",462,64,462,64,2023
10180,"Abilene, TX",527,0,527,0,2024
10180,"Abilene, TX",1160,0,1152,0,2025
10420,"Akron, OH",3332,1011,3332,1011,1990
10420,"Akron, OH",2378,166,2376,166,1991
10420,"Akron, OH",3782,1165,3780,1165,1992
10420,"Akron, OH",3015,202,3011,202,1993
10420,"Akron, OH",3789,590,3785,590,1994
10420,"Akron, OH",3092,411,3090,411,1995
10420,"Akron, OH",3898,815,3895,815,1996
10420,"Akron, OH",3707,1037,3700,1037,1997
10420,"Akron, OH",4013,866,4005,866,1998
10420,"Akron, OH",3644,350,3633,350,1999
10420,"Akron, OH",3342,663,3326,663,2000
10420,"Akron, OH",3230,511,3147,511,2001
10420,"Akron, OH",2634,321,2547,321,2002
10420,"Akron, OH",3190,294,3190,294,2003
10420,"Akron, OH",2934,282,2281,84,2004
10420,"Akron, OH",2724,211,2073,14,2005
10420,"Akron, OH",2209,339,1719,144,2006
10420,"Akron, OH",1594,182,1280,28,2007
10420,"Akron, OH",1039,141,828,30,2008
10420,"Akron, OH",741,49,618,0,2009
10420,"Akron, OH",736,50,548,0,2010
10420,"Akron, OH",1122,479,981,434,2011
10420,"Akron, OH",618,0,614,0,2012
10420,"Akron, OH",690,16,685,16,2013
10420,"Akron, OH",763,63,701,63,2014
10420,"Akron, OH",967,159,868,159,2015
10420,"Akron, OH",909,0,798,0,2016
10420,"Akron, OH",920,11,770,11,2017
10420,"Akron, OH",1210,179,1203,179,2018
10420,"Akron, OH",945,55,809,0,2019
10420,"Akron, OH",914,89,830,24,2020
10420,"Akron, OH",1215,217,1117,142,2021
10420,"Akron, OH",3047,1746,2890,1657,2022
10420,"Akron, OH",940,124,932,124,2023
10420,"Akron, OH",1282,412,1259,412,2024
10420,"Akron, OH",751,78,726,78,2025
10500,"Albany, GA",461,63,449,63,1990
10500,"Albany, GA",579,0,579,0,1991
10500,"Albany, GA",677,65,673,65,1992
10500,"Albany, GA",854,83,733,83,1993
10500,"Albany, GA",847,78,847,78,1994
10500,"Albany, GA",1260,356,1217,356,1995
10500,"Albany, GA",1077,102,1029,102,1996
10500,"Albany, GA",1021,101,973,101,1997
10500,"Albany, GA",720,8,670,8,1998
10500,"Albany, GA",753,0,705,0,1999
10500,"Albany, GA",773,193,491,193,2000
10500,"Albany, GA",618,0,270,0,2001
10500,"Albany, GA",685,0,347,0,2002
10500,"Albany, GA",907,262,907,262,2003
10500,"Albany, GA",873,118,457,118,2004
10500,"Albany, GA",751,8,306,8,2005
10500,"Albany, GA",727,8,335,8,2006
10500,"Albany, GA",590,65,127,60,2007
10500,"Albany, GA",294,15,46,0,2008
10500,"Albany, GA",213,5,33,0,2009
10500,"Albany, GA",248,56,72,51,2010
10500,"Albany, GA",206,5,32,0,2011
10500,"Albany, GA",229,5,23,0,2012
10500,"Albany, GA",257,10,15,0,2013
10500,"Albany, GA",271,5,188,0,2014
10500,"Albany, GA",203,5,100,0,2015
10500,"Albany, GA",230,46,211,46,2016
10500,"Albany, GA",416,5,404,0,2017
10500,"Albany, GA",188,15,148,0,2018
10500,"Albany, GA",402,220,397,220,2019
10500,"Albany, GA",367,194,255,100,2020
10500,"Albany, GA",224,0,194,0,2021
10500,"Albany, GA",202,33,175,33,2022
10500,"Albany, GA",183,15,143,0,2023
10500,"Albany, GA",259,64,196,44,2024
10500,"Albany, GA",192,36,166,36,2025
10540,"Albany, OR",157,0,157,0,1990
10540,"Albany, OR",227,17,220,17,1991
10540,"Albany, OR",312,56,312,56,1992
10540,"Albany, OR",451,92,451,92,1993
10540,"Albany, OR",628,257,625,257,1994
10540,"Albany, OR",524,184,524,184,1995
10540,"Albany, OR",390,12,376,12,1996
10540,"Albany, OR",692,190,692,190,1997
10540,"Albany, OR",804,194,804,194,1998
10540,"Albany, OR",616,168,616,168,1999
10540,"Albany, OR",512,112,512,112,2000
10540,"Albany, OR",559,101,559,101,2001
10540,"Albany, OR",568,0,568,0,2002
10540,"Albany, OR",677,6,677,6,2003
10540,"Albany, OR",905,48,900,48,2004
10540,"Albany, OR",1015,103,1015,103,2005
10540,"Albany, OR",891,57,886,57,2006
10540,"Albany, OR",799,142,799,142,2007
10540,"Albany, OR",540,264,531,264,2008
10540,"Albany, OR",246,0,246,0,2009
10540,"Albany, OR",174,0,160,0,2010
10540,"Albany, OR",180,48,180,48,2011
10540,"Albany, OR",228,74,228,74,2012
10540,"Albany, OR",455,178,423,147,2013
10540,"Albany, OR",393,121,393,121,2014
10540,"Albany, OR",365,15,320,0,2015
10540,"Albany, OR",405,10,362,0,2016
10540,"Albany, OR",539,58,385,48,2017
10540,"Albany, OR",540,92,476,67,2018
10540,"Albany, OR",716,250,638,210,2019
10540,"Albany, OR",796,311,654,253,2020
10540,"Albany, OR",620,223,538,169,2021
10540,"Albany, OR",327,78,327,78,2022
10540,"Albany, OR",377,79,377,79,2023
10540,"Albany, OR",309,60,309,60,2024
10540,"Albany, OR",189,26,189,26,2025
10580,"Albany-Schenectady-Troy, NY",2853,514,2800,514,1990
10580,"Albany-Schenectady-Troy, NY",2904,423,2756,423,1991
10580,"Albany-Schenectady-Troy, NY",3068,384,3018,384,1992
10580,"Albany-Schenectady-Troy, NY",3084,279,2937,279,1993
10580,"Albany-Schenectady-Troy, NY",2867,486,2643,424,1994
10580,"Albany-Schenectady-Troy, NY",2446,672,2366,672,1995
10580,"Albany-Schenectady-Troy, NY",2556,783,2281,739,1996
10580,"Albany-Schenectady-Troy, NY",2266,425,2109,410,1997
10580,"Albany-Schenectady-Troy, NY",3355,1038,3142,972,1998
10580,"Albany-Schenectady-Troy, NY",2840,515,2590,425,1999
10580,"Albany-Schenectady-Troy, NY",2597,346,2332,254,2000
10580,"Albany-Schenectady-Troy, NY",2909,502,2607,414,2001
10580,"Albany-Schenectady-Troy, NY",3226,475,2915,368,2002
10580,"Albany-Schenectady-Troy, NY",3222,554,3222,554,2003
10580,"Albany-Schenectady-Troy, NY",3268,614,2739,403,2004
10580,"Albany-Schenectady-Troy, NY",3639,1294,2991,996,2005
10580,"Albany-Schenectady-Troy, NY",2450,494,2149,456,2006
10580,"Albany-Schenectady-Troy, NY",2703,981,2471,947,2007
10580,"Albany-Schenectady-Troy, NY",1892,618,1698,600,2008
10580,"Albany-Schenectady-Troy, NY",1380,180,1267,180,2009
10580,"Albany-Schenectady-Troy, NY",1429,244,1326,244,2010
10580,"Albany-Schenectady-Troy, NY",1764,768,1684,756,2011
10580,"Albany-Schenectady-Troy, NY",2226,993,1974,855,2012
10580,"Albany-Schenectady-Troy, NY",2009,683,1875,624,2013
10580,"Albany-Schenectady-Troy, NY",2231,839,2092,814,2014
10580,"Albany-Schenectady-Troy, NY",3623,2132,3287,1918,2015
10580,"Albany-Schenectady-Troy, NY",2853,1120,2519,937,2016
10580,"Albany-Schenectady-Troy, NY",2346,925,2005,750,2017
10580,"Albany-Schenectady-Troy, NY",2239,857,1899,692,2018
10580,"Albany-Schenectady-Troy, NY",1870,665,1645,580,2019
10580,"Albany-Schenectady-Troy, NY",2046,628,1812,567,2020
10580,"Albany-Schenectady-Troy, NY",2697,1182,2548,1134,2021
10580,"Albany-Schenectady-Troy, NY",2635,1257,2476,1202,2022
10580,"Albany-Schenectady-Troy, NY",1907,836,1668,740,2023
10580,"Albany-Schenectady-Troy, NY",2366,1068,1969,979,2024
10580,"Albany-Schenectady-Troy, NY",2047,697,1601,565,2025
10740,"Albuquerque, NM",2473,428,2472,428,1990
10740,"Albuquerque, NM",2407,284,2165,274,1991
10740,"Albuquerque, NM",3250,56,3242,56,1992
10740,"Albuquerque, NM",4335,329,4111,323,1993
10740,"Albuquerque, NM",6505,1821,5830,1791,1994
10740,"Albuquerque, NM",6581,1910,5634,1870,1995
10740,"Albuquerque, NM",5755,1035,4568,958,1996
10740,"Albuquerque, NM",6097,1588,4809,1512,1997
10740,"Albuquerque, NM",5366,388,4250,324,1998
10740,"Albuquerque, NM",5311,271,5102,271,1999
10740,"Albuquerque, NM",4773,70,4573,70,2000
10740,"Albuquerque, NM",5925,646,5685,646,2001
10740,"Albuquerque, NM",7022,1121,6257,1121,2002
10740,"Albuquerque, NM",7936,702,7936,702,2003
10740,"Albuquerque, NM",7455,324,6244,324,2004
10740,"Albuquerque, NM",7038,273,2840,107,2005
10740,"Albuquerque, NM",6822,730,3983,534,2006
10740,"Albuquerque, NM",4499,599,4060,599,2007
10740,"Albuquerque, NM",2555,452,770,0,2008
10740,"Albuquerque, NM",1692,143,517,0,2009
10740,"Albuquerque, NM",1764,181,336,0,2010
10740,"Albuquerque, NM",1634,251,144,0,2011
10740,"Albuquerque, NM",2084,647,1406,647,2012
10740,"Albuquerque, NM",2606,1061,1675,1061,2013
10740,"Albuquerque, NM",2543,336,1554,306,2014
10740,"Albuquerque, NM",2295,219,1493,169,2015
10740,"Albuquerque, NM",2465,500,1404,384,2016
10740,"Albuquerque, NM",2256,251,1002,0,2017
10740,"Albuquerque, NM",2186,75,1798,6,2018
10740,"Albuquerque, NM",2148,262,1383,188,2019
10740,"Albuquerque, NM",2014,68,1190,0,2020
10740,"Albuquerque, NM",4021,1410,3804,1314,2021
10740,"Albuquerque, NM",2852,942,2823,942,2022
10740,"Albuquerque, NM",2834,777,2834,777,2023
10740,"Albuquerque, NM",2876,762,2876,762,2024
10740,"Albuquerque, NM",2830,984,2708,984,2025
10780,"Alexandria, LA",60,0,56,0,1990
10780,"Alexandria, LA",115,0,110,0,1991
10780,"Alexandria, LA",223,24,223,24,1992
10780,"Alexandria, LA",271,60,263,60,1993
10780,"Alexandria, LA",368,0,368,0,1994
10780,"Alexandria, LA",333,32,326,32,1995
10780,"Alexandria, LA",436,65,430,65,1996
10780,"Alexandria, LA",331,0,325,0,1997
10780,"Alexandria, LA",500,96,494,96,1998
10780,"Alexandria, LA",510,90,393,0,1999
10780,"Alexandria, LA",441,61,352,0,2000
10780,"Alexandria, LA",449,89,343,8,2001
10780,"Alexandria, LA",534,102,534,102,2002
10780,"Alexandria, LA",580,39,580,39,2003
10780,"Alexandria, LA",685,0,574,0,2004
10780,"Alexandria, LA",710,0,289,0,2005
10780,"Alexandria, LA",951,0,705,0,2006
10780,"Alexandria, LA",572,0,408,0,2007
10780,"Alexandria, LA",382,8,283,8,2008
10780,"Alexandria, LA",396,0,396,0,2009
10780,"Alexandria, LA",434,72,398,72,2010
10780,"Alexandria, LA",376,74,124,0,2011
10780,"Alexandria, LA",482,121,44,0,2012
10780,"Alexandria, LA",402,8,186,8,2013
10780,"Alexandria, LA",323,0,197,0,2014
10780,"Alexandria, LA",289,0,286,0,2015
10780,"Alexandria, LA",390,0,390,0,2016
10780,"Alexandria, LA",302,0,269,0,2017
10780,"Alexandria, LA",305,0,261,0,2018
10780,"Alexandria, LA",333,0,333,0,2019
10780,"Alexandria, LA",313,0,168,0,2020
10780,"Alexandria, LA",289,0,195,0,2021
10780,"Alexandria, LA",353,0,353,0,2022
10780,"Alexandria, LA",241,0,107,0,2023
10780,"Alexandria, LA",241,0,16,0,2024
10780,"Alexandria, LA",273,0,36,0,2025
10900,"Allentown-Bethlehem-Easton, PA-NJ",2151,237,2144,237,1990
10900,"Allentown-Bethlehem-Easton, PA-NJ",2517,312,2450,312,1991
10900,"Allentown-Bethlehem-Easton, PA-NJ",3042,385,3019,385,1992
