cbsa_code,cbsa_title,fred_id,year,ours,fred,pct_diff,note
10740,"Albuquerque, NM",ALBU735BPPRIV,2023,2834,3025.0,-0.0631404958677686,
10740,"Albuquerque, NM",ALBU735BPPRIV,2024,2876,2891.0,-0.005188516084399852,
10900,"Allentown-Bethlehem-Easton, PA-NJ",ALLE942BPPRIV,2023,1735,1762.0,-0.015323496027241812,
10900,"Allentown-Bethlehem-Easton, PA-NJ",ALLE942BPPRIV,2024,2485,1917.0,0.2962962962962963,
12060,"Atlanta-Sandy Springs-Roswell, GA",ATLA013BPPRIV,2023,38749,39048.0,-0.007657242368367179,
12060,"Atlanta-Sandy Springs-Roswell, GA",ATLA013BPPRIV,2024,40687,39188.0,0.038251505562927335,
12420,"Austin-Round Rock-San Marcos, TX",AUST448BPPRIV,2023,38773,36300.0,0.06812672176308543,
12420,"Austin-Round Rock-San Marcos, TX",AUST448BPPRIV,2024,32294,33530.0,-0.03686251118401429,
12580,"Baltimore-Columbia-Towson, MD",BALT524BPPRIV,2023,7539,6376.0,0.18240276035131742,
12580,"Baltimore-Columbia-Towson, MD",BALT524BPPRIV,2024,6284,6549.0,-0.040464193006565896,
13820,"Birmingham, AL",BIRM801BPPRIV,2023,3452,3411.0,0.012019935502785017,
13820,"Birmingham, AL",BIRM801BPPRIV,2024,3746,3756.0,-0.0026624068157614644,
14260,"Boise City, ID",BOIS216BPPRIV,2023,9891,10179.0,-0.028293545534924802,
14260,"Boise City, ID",BOIS216BPPRIV,2024,9063,8813.0,0.02836718484057643,
14460,"Boston-Cambridge-Newton, MA-NH",BOST625BPPRIV,2023,10822,11746.0,-0.07866507747318241,
14460,"Boston-Cambridge-Newton, MA-NH",BOST625BPPRIV,2024,11235,11160.0,0.006720430107526987,
15980,"Cape Coral-Fort Myers, FL",CAPE912BPPRIV,2023,13556,12928.0,0.04857673267326734,
15980,"Cape Coral-Fort Myers, FL",CAPE912BPPRIV,2024,15411,15438.0,-0.001748931208705784,
16700,"Charleston-North Charleston, SC",CHAR745BPPRIV,2023,8573,7473.0,0.14719657433427003,
16700,"Charleston-North Charleston, SC",CHAR745BPPRIV,2024,8514,8589.0,-0.008732099196646859,
16740,"Charlotte-Concord-Gastonia, NC-SC",CHAR737BPPRIV,2023,29419,29695.0,-0.009294494022562771,
16740,"Charlotte-Concord-Gastonia, NC-SC",CHAR737BPPRIV,2024,25935,25837.0,0.003793010024383703,
16980,"Chicago-Naperville-Elgin, IL-IN",CHIC917BPPRIV,2023,14801,14214.0,0.04129731250879409,
16980,"Chicago-Naperville-Elgin, IL-IN",CHIC917BPPRIV,2024,18064,17320.0,0.0429561200923787,
